"country","region","region_markdown"
"Antarctica","Antarctica","Antarctica"
"Algeria","Africa","Africa"
"Angola","Africa","Africa"
"Benin","Africa","Africa"
"Botswana","Africa","Africa"
"British Indian Ocean Territory","Africa","Africa"
"Burkina Faso","Africa","Africa"
"Burundi","Africa","Africa"
"Cape Verde","Africa","Africa"
"Cameroon","Africa","Africa"
"Central African Republic","Africa","Africa"
"Chad","Africa","Africa"
"Comoros","Africa","Africa"
"Congo - Brazzaville","Africa","Africa"
"Côte d’Ivoire","Africa","Africa"
"Congo - Kinshasa","Africa","Africa"
"Djibouti","Africa","Africa"
"Egypt","Africa","Africa"
"Equatorial Guinea","Africa","Africa"
"Eritrea","Africa","Africa"
"Eswatini","Africa","Africa"
"Ethiopia","Africa","Africa"
"French Southern Territories","Africa","Africa"
"Gabon","Africa","Africa"
"Gambia","Africa","Africa"
"Ghana","Africa","Africa"
"Guinea","Africa","Africa"
"Guinea-Bissau","Africa","Africa"
"Kenya","Africa","Africa"
"Lesotho","Africa","Africa"
"Liberia","Africa","Africa"
"Libya","Africa","Africa"
"Madagascar","Africa","Africa"
"Malawi","Africa","Africa"
"Mali","Africa","Africa"
"Mauritania","Africa","Africa"
"Mauritius","Africa","Africa"
"Mayotte","Africa","Africa"
"Morocco","Africa","Africa"
"Mozambique","Africa","Africa"
"Namibia","Africa","Africa"
"Niger","Africa","Africa"
"Nigeria","Africa","Africa"
"Réunion","Africa","Africa"
"Rwanda","Africa","Africa"
"St. Helena","Africa","Africa"
"São Tomé & Príncipe","Africa","Africa"
"Senegal","Africa","Africa"
"Seychelles","Africa","Africa"
"Sierra Leone","Africa","Africa"
"Somalia","Africa","Africa"
"South Africa","Africa","Africa"
"South Sudan","Africa","Africa"
"Sudan","Africa","Africa"
"Togo","Africa","Africa"
"Tunisia","Africa","Africa"
"Uganda","Africa","Africa"
"Tanzania","Africa","Africa"
"Western Sahara","Africa","Africa"
"Zambia","Africa","Africa"
"Zimbabwe","Africa","Africa"
"Brunei","East & Southeast Asia","East &<br />Southeast Asia"
"Cambodia","East & Southeast Asia","East &<br />Southeast Asia"
"China","East & Southeast Asia","East &<br />Southeast Asia"
"Hong Kong SAR China","East & Southeast Asia","East &<br />Southeast Asia"
"Macao SAR China","East & Southeast Asia","East &<br />Southeast Asia"
"North Korea","East & Southeast Asia","East &<br />Southeast Asia"
"Indonesia","East & Southeast Asia","East &<br />Southeast Asia"
"Japan","East & Southeast Asia","East &<br />Southeast Asia"
"Laos","East & Southeast Asia","East &<br />Southeast Asia"
"Malaysia","East & Southeast Asia","East &<br />Southeast Asia"
"Mongolia","East & Southeast Asia","East &<br />Southeast Asia"
"Myanmar (Burma)","East & Southeast Asia","East &<br />Southeast Asia"
"Philippines","East & Southeast Asia","East &<br />Southeast Asia"
"South Korea","East & Southeast Asia","East &<br />Southeast Asia"
"Singapore","East & Southeast Asia","East &<br />Southeast Asia"
"Taiwan","East & Southeast Asia","East &<br />Southeast Asia"
"Thailand","East & Southeast Asia","East &<br />Southeast Asia"
"Timor-Leste","East & Southeast Asia","East &<br />Southeast Asia"
"Vietnam","East & Southeast Asia","East &<br />Southeast Asia"
"Åland Islands","Europe & Central Asia","Europe &<br />Central Asia"
"Albania","Europe & Central Asia","Europe &<br />Central Asia"
"Andorra","Europe & Central Asia","Europe &<br />Central Asia"
"Austria","Europe & Central Asia","Europe &<br />Central Asia"
"Belarus","Europe & Central Asia","Europe &<br />Central Asia"
"Belgium","Europe & Central Asia","Europe &<br />Central Asia"
"Bosnia & Herzegovina","Europe & Central Asia","Europe &<br />Central Asia"
"Bulgaria","Europe & Central Asia","Europe &<br />Central Asia"
"Croatia","Europe & Central Asia","Europe &<br />Central Asia"
"Czechia","Europe & Central Asia","Europe &<br />Central Asia"
"Denmark","Europe & Central Asia","Europe &<br />Central Asia"
"Estonia","Europe & Central Asia","Europe &<br />Central Asia"
"Faroe Islands","Europe & Central Asia","Europe &<br />Central Asia"
"Finland","Europe & Central Asia","Europe &<br />Central Asia"
"France","Europe & Central Asia","Europe &<br />Central Asia"
"Germany","Europe & Central Asia","Europe &<br />Central Asia"
"Gibraltar","Europe & Central Asia","Europe &<br />Central Asia"
"Greece","Europe & Central Asia","Europe &<br />Central Asia"
"Guernsey","Europe & Central Asia","Europe &<br />Central Asia"
"Vatican City","Europe & Central Asia","Europe &<br />Central Asia"
"Hungary","Europe & Central Asia","Europe &<br />Central Asia"
"Iceland","Europe & Central Asia","Europe &<br />Central Asia"
"Ireland","Europe & Central Asia","Europe &<br />Central Asia"
"Isle of Man","Europe & Central Asia","Europe &<br />Central Asia"
"Italy","Europe & Central Asia","Europe &<br />Central Asia"
"Jersey","Europe & Central Asia","Europe &<br />Central Asia"
"Kazakhstan","Europe & Central Asia","Europe &<br />Central Asia"
"Kyrgyzstan","Europe & Central Asia","Europe &<br />Central Asia"
"Latvia","Europe & Central Asia","Europe &<br />Central Asia"
"Liechtenstein","Europe & Central Asia","Europe &<br />Central Asia"
"Lithuania","Europe & Central Asia","Europe &<br />Central Asia"
"Luxembourg","Europe & Central Asia","Europe &<br />Central Asia"
"Malta","Europe & Central Asia","Europe &<br />Central Asia"
"Monaco","Europe & Central Asia","Europe &<br />Central Asia"
"Montenegro","Europe & Central Asia","Europe &<br />Central Asia"
"Netherlands","Europe & Central Asia","Europe &<br />Central Asia"
"North Macedonia","Europe & Central Asia","Europe &<br />Central Asia"
"Norway","Europe & Central Asia","Europe &<br />Central Asia"
"Poland","Europe & Central Asia","Europe &<br />Central Asia"
"Portugal","Europe & Central Asia","Europe &<br />Central Asia"
"Moldova","Europe & Central Asia","Europe &<br />Central Asia"
"Romania","Europe & Central Asia","Europe &<br />Central Asia"
"Russia","Europe & Central Asia","Europe &<br />Central Asia"
"San Marino","Europe & Central Asia","Europe &<br />Central Asia"
NA,"Europe & Central Asia","Europe &<br />Central Asia"
"Serbia","Europe & Central Asia","Europe &<br />Central Asia"
"Slovakia","Europe & Central Asia","Europe &<br />Central Asia"
"Slovenia","Europe & Central Asia","Europe &<br />Central Asia"
"Spain","Europe & Central Asia","Europe &<br />Central Asia"
"Svalbard & Jan Mayen","Europe & Central Asia","Europe &<br />Central Asia"
"Sweden","Europe & Central Asia","Europe &<br />Central Asia"
"Switzerland","Europe & Central Asia","Europe &<br />Central Asia"
"Tajikistan","Europe & Central Asia","Europe &<br />Central Asia"
"Turkmenistan","Europe & Central Asia","Europe &<br />Central Asia"
"Ukraine","Europe & Central Asia","Europe &<br />Central Asia"
"United Kingdom","Europe & Central Asia","Europe &<br />Central Asia"
"Uzbekistan","Europe & Central Asia","Europe &<br />Central Asia"
"Armenia","Middle East","Middle East"
"Azerbaijan","Middle East","Middle East"
"Bahrain","Middle East","Middle East"
"Cyprus","Middle East","Middle East"
"Georgia","Middle East","Middle East"
"Iraq","Middle East","Middle East"
"Israel","Middle East","Middle East"
"Jordan","Middle East","Middle East"
"Kuwait","Middle East","Middle East"
"Lebanon","Middle East","Middle East"
"Oman","Middle East","Middle East"
"Qatar","Middle East","Middle East"
"Saudi Arabia","Middle East","Middle East"
"Palestinian Territories","Middle East","Middle East"
"Syria","Middle East","Middle East"
"Turkey","Middle East","Middle East"
"United Arab Emirates","Middle East","Middle East"
"Yemen","Middle East","Middle East"
"Anguilla","North America","North America"
"Antigua & Barbuda","North America","North America"
"Aruba","North America","North America"
"Bahamas","North America","North America"
"Barbados","North America","North America"
"Belize","North America","North America"
"Bermuda","North America","North America"
"British Virgin Islands","North America","North America"
"Canada","North America","North America"
"Cayman Islands","North America","North America"
"Costa Rica","North America","North America"
"Cuba","North America","North America"
"Curaçao","North America","North America"
"Dominica","North America","North America"
"Dominican Republic","North America","North America"
"El Salvador","North America","North America"
"Greenland","North America","North America"
"Grenada","North America","North America"
"Guadeloupe","North America","North America"
"Guatemala","North America","North America"
"Haiti","North America","North America"
"Honduras","North America","North America"
"Jamaica","North America","North America"
"Martinique","North America","North America"
"Mexico","North America","North America"
"Montserrat","North America","North America"
"Nicaragua","North America","North America"
"Panama","North America","North America"
"Puerto Rico","North America","North America"
"St. Barthélemy","North America","North America"
"St. Kitts & Nevis","North America","North America"
"St. Lucia","North America","North America"
"Saint Martin (French part)","North America","North America"
"St. Pierre & Miquelon","North America","North America"
"St. Vincent & Grenadines","North America","North America"
"Sint Maarten","North America","North America"
"Trinidad & Tobago","North America","North America"
"Turks & Caicos Islands","North America","North America"
"United States","North America","North America"
"U.S. Virgin Islands","North America","North America"
"American Samoa","Oceania","Oceania"
"Australia","Oceania","Oceania"
"Christmas Island","Oceania","Oceania"
"Cocos (Keeling) Islands","Oceania","Oceania"
"Cook Islands","Oceania","Oceania"
"Fiji","Oceania","Oceania"
"French Polynesia","Oceania","Oceania"
"Guam","Oceania","Oceania"
"Heard & McDonald Islands","Oceania","Oceania"
"Kiribati","Oceania","Oceania"
"Marshall Islands","Oceania","Oceania"
"Micronesia (Federated States of)","Oceania","Oceania"
"Nauru","Oceania","Oceania"
"New Caledonia","Oceania","Oceania"
"New Zealand","Oceania","Oceania"
"Niue","Oceania","Oceania"
"Norfolk Island","Oceania","Oceania"
"Northern Mariana Islands","Oceania","Oceania"
"Palau","Oceania","Oceania"
"Papua New Guinea","Oceania","Oceania"
"Pitcairn Islands","Oceania","Oceania"
"Samoa","Oceania","Oceania"
"Solomon Islands","Oceania","Oceania"
"Tokelau","Oceania","Oceania"
"Tonga","Oceania","Oceania"
"Tuvalu","Oceania","Oceania"
"United States Minor Outlying Islands (the)","Oceania","Oceania"
"Vanuatu","Oceania","Oceania"
"Wallis & Futuna","Oceania","Oceania"
"Argentina","South America","South America"
"Bolivia","South America","South America"
"Bouvet Island","South America","South America"
"Brazil","South America","South America"
"Chile","South America","South America"
"Colombia","South America","South America"
"Ecuador","South America","South America"
"Falkland Islands","South America","South America"
"French Guiana","South America","South America"
"Guyana","South America","South America"
"Paraguay","South America","South America"
"Peru","South America","South America"
"South Georgia & South Sandwich Islands","South America","South America"
"Suriname","South America","South America"
"Uruguay","South America","South America"
"Venezuela","South America","South America"
"Afghanistan","South Asia","South Asia"
"Bangladesh","South Asia","South Asia"
"Bhutan","South Asia","South Asia"
"India","South Asia","South Asia"
"Iran","South Asia","South Asia"
"Maldives","South Asia","South Asia"
"Nepal","South Asia","South Asia"
"Pakistan","South Asia","South Asia"
"Sri Lanka","South Asia","South Asia"
